"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Predator",12,14,3,4,1,120.632298786034,367.085904805148
"Predator",13,14,3,4,1,115.163536497705,370.005909044013
"Predator",14,14,3,4,1,145.300940722251,349.676861850171
"Predator",15,14,3,4,1,123.860155048691,396.998749743896
"Predator",16,14,3,4,1,146.43527951424,470.976542108974
"Predator",17,14,3,4,1,145.937937616369,415.529784801172
"Predator",18,14,3,4,1,167.378004656774,382.838904340297
"Predator",19,14,3,4,1,193.836892558409,388.298534258539
"Predator",20,14,3,4,1,110.610100294381,416.431759321284
"Predator",21,14,3,4,1,131.194342524434,423.641519550006
"Predator",22,14,3,4,1,181.561753558303,443.78123978043
"Predator",23,14,3,4,1,189.542861686692,371.816693509
"Predator",24,14,3,4,1,147.849090435008,321.320219073471
"Predator",25,14,3,4,1,68.5744473665956,280.059428384555
"Predator",26,14,3,4,1,75.4803630228546,264.88128067725
"Predator",27,14,3,4,1,117.680004447425,323.277724182284
"Predator",28,14,3,4,1,141.511375838189,350.937506640241
"Predator",29,14,3,4,1,143.59816568509,392.90872243532
"Predator",30,14,3,4,1,165.448354455549,384.688108404751
"Predator",31,14,3,4,1,142.63849623581,375.249895039142
"Combined",1,15,3,4,3,175.269297235537,474.541475954271
"Combined",2,15,3,4,3,106.419668732544,477.790061024293
"Combined",3,15,3,4,3,152.311976571559,433.762248581756
"Combined",4,15,3,4,3,168.481151030845,422.882628901915
"Combined",5,15,3,4,3,128.227496796071,403.13546042727
"Combined",6,15,3,4,3,152.2046733254,349.37893633863
"Combined",7,15,3,4,3,145.004045002463,355.970077019742
"Combined",8,15,3,4,3,144.575397345929,391.024779507295
"Combined",9,15,3,4,3,68.0768864224649,401.068266379679
"Combined",10,15,3,4,3,116.949416947617,430.049633970052
"Combined",11,15,3,4,3,146.364789216985,413.547685721641
"Combined",12,15,3,4,3,173.695182189968,498.118943039105
"Combined",13,15,3,4,3,149.113207255792,481.326992410823
"Combined",14,15,3,4,3,169.949124160669,398.392869333765
"Combined",15,15,3,4,3,202.944202703565,451.404921150015
"Combined",16,15,3,4,3,216.165454932565,453.068737858061
"Combined",17,15,3,4,3,108.938116713879,470.538703832187
"Combined",18,15,3,4,3,180.013078468542,504.966894958953
"Combined",19,15,3,4,3,173.36035680548,505.71594192678
"Combined",20,15,3,4,3,131.636039346548,547.659968707629
"Combined",21,15,3,4,3,164.328442018759,454.069391151379
"Combined",22,15,3,4,3,187.902300601734,403.800287293138
"Combined",23,15,3,4,3,118.15711947862,344.948857259745
"Combined",24,15,3,4,3,150.887687426475,291.45672211438
"Combined",25,15,3,4,3,120.070001838818,392.550325403057
"Combined",26,15,3,4,3,131.163325686879,433.256696172978
"Combined",27,15,3,4,3,106.459644194182,452.7913896631
"Combined",28,15,3,4,3,206.073862109807,470.331401364111
